p,g,x,a
3,1,1,0
5,4,1,0
3,2,1,0
17,11,3,6
59,41,45,19
7,6,1,0
19,3,17,15
241,236,211,34
43,24,14,10
557,141,182,115
3593,1985,1143,258
6221,2184,3535,2164
14951,9006,12008,4432
30047,8173,16865,26964
6529,5168,6289,1201
18587,16039,7801,18525
1999,52,1142,95
11287,4919,2395,5
642253,492791,490170,8445
19681,18195,8303,2515
250951,28998,143496,492
483251,425009,99208,319155
29129,5872,13566,13377
9281,9225,8994,8251
134177,70832,58989,65838
97021,27031,85676,17195
12433,10208,4288,6050
14723,10106,2376,6482
47,23,32,17
1109,824,347,280
1741,1356,1336,29
68927,30253,65874,4682
42863,33025,38017,33686
16529,8315,6943,3100
30703,13788,9922,3924
4013,798,1910,1241
140473,38630,101612,80594
1291,200,1224,244
577,412,566,497
451337,107097,352766,366397
197243,148455,80388,25401
2083,1137,277,7
8537,4274,3577,2633
166627,32954,50178,41758
42719,27576,19358,12591
6343,1073,5834,339
4493,841,859,1852
22433,624,2741,2681
3319,485,1944,2936
585383,170009,18331,56732
112589,94241,26094,15706
27967,11669,14670,8458
21773,327,8288,2736
14207,4322,9087,3945
2141,1724,1507,1021
631,139,82,18
6073,5127,3083,1180
2039,1727,607,677
829,684,799,562
674173,371504,82922,274296
389923,67174,61025,41919
2801,726,2398,339
318743,18077,276979,15495
31,2,4,1
1217,1012,1180,233
73291,71069,28495,8340
24517,18371,11976,1076
83843,67414,48372,7018
109721,7639,54988,3403
487,297,251,140
613,115,370,86
787,534,397,16
500891,97990,370151,486801
2243,2046,997,1175
383,90,341,96
3001,1374,1802,132
186119,98980,28063,53431
54013,26792,16216,6080
193,39,3,19
2909,592,225,1289
129509,103154,59132,10409
495667,458845,22020,374130
503431,180469,363387,78146
19991,1047,6935,3062
10939,9461,5525,1192
102077,26169,47035,60875
13297,4485,6789,3008
257981,219769,116407,57583
61861,54414,14483,3532
706801,235722,52481,189829
12589,9256,5523,680
41603,27457,31813,1564
857,77,408,9
659,588,221,72
341027,70642,25639,86359
85991,56381,16495,36119
1033,561,87,614
2543,809,2530,93
14303,2640,5142,2906
7561,6999,3163,3039
