p,g,x,a
3,1,1,?
5,4,1,?
3,2,1,?
17,11,3,?
59,41,45,?
7,6,1,?
19,3,17,?
241,236,211,?
43,24,14,?
557,141,182,?
3593,1985,1143,?
6221,2184,3535,?
14951,9006,12008,?
30047,8173,16865,?
6529,5168,6289,?
18587,16039,7801,?
1999,52,1142,?
11287,4919,2395,?
642253,492791,490170,?
19681,18195,8303,?
250951,28998,143496,?
483251,425009,99208,?
29129,5872,13566,?
9281,9225,8994,?
134177,70832,58989,?
97021,27031,85676,?
12433,10208,4288,?
14723,10106,2376,?
47,23,32,?
1109,824,347,?
1741,1356,1336,?
68927,30253,65874,?
42863,33025,38017,?
16529,8315,6943,?
30703,13788,9922,?
4013,798,1910,?
140473,38630,101612,?
1291,200,1224,?
577,412,566,?
451337,107097,352766,?
197243,148455,80388,?
2083,1137,277,?
8537,4274,3577,?
166627,32954,50178,?
42719,27576,19358,?
6343,1073,5834,?
4493,841,859,?
22433,624,2741,?
3319,485,1944,?
585383,170009,18331,?
112589,94241,26094,?
27967,11669,14670,?
21773,327,8288,?
14207,4322,9087,?
2141,1724,1507,?
631,139,82,?
6073,5127,3083,?
2039,1727,607,?
829,684,799,?
674173,371504,82922,?
389923,67174,61025,?
2801,726,2398,?
318743,18077,276979,?
31,2,4,?
1217,1012,1180,?
73291,71069,28495,?
24517,18371,11976,?
83843,67414,48372,?
109721,7639,54988,?
487,297,251,?
613,115,370,?
787,534,397,?
500891,97990,370151,?
2243,2046,997,?
383,90,341,?
3001,1374,1802,?
186119,98980,28063,?
54013,26792,16216,?
193,39,3,?
2909,592,225,?
129509,103154,59132,?
495667,458845,22020,?
503431,180469,363387,?
19991,1047,6935,?
10939,9461,5525,?
102077,26169,47035,?
13297,4485,6789,?
257981,219769,116407,?
61861,54414,14483,?
706801,235722,52481,?
12589,9256,5523,?
41603,27457,31813,?
857,77,408,?
659,588,221,?
341027,70642,25639,?
85991,56381,16495,?
1033,561,87,?
2543,809,2530,?
14303,2640,5142,?
7561,6999,3163,?
